kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 265 : 25 125 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 138 : 5 30 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 180 : 6 30 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 180 : 5 30 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 121 : 5 30 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 115 : 20 100 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 168 : 5 125 0 0 0 3 1 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 109 : 25 25 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 109 : 6 54 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 169 : 6 54 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 169 : 5 135 0 0 0 3 1 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 42 : 6 30 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 51 : 25 125 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 139 : 5 45 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 80 : 25 125 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 80 : 6 36 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 48 : 25 125 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 48 : 6 30 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 77 : 25 175 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 204 : 5 30 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 34 : 25 0 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 32 : 25 0 0 0 0 0 0 0 0 
